anger,0,0,,,,,date,Happy,Sad,Surprise,
anger,1,0,,,,,20111001,7,1,1,
anger,2,3,,,,,20111002,8,0,2,
anger,3,2,,,,,20111003,12,0,0,
anger,4,0,,,,,20111004,2,0,0,
anger,5,0,,,,,20111005,2,0,0,
anger,6,0,,,,,20111006,5,0,1,
anger,7,0,,,,,20111007,0,1,3,
anger,8,0,,,,,20111008,7,4,1,
anger,9,4,,,,,20111009,2,6,0,
anger,10,0,,,,,20111010,0,1,2,
anger,11,0,,,,,20111011,5,4,0,
anger,12,2,,,,,20111012,6,0,1,
disgust,0,1,,,,,20111013,3,2,4,
disgust,1,2,,,,,,,,,
disgust,2,0,,,,,,,,,
disgust,3,0,,,,,,,,,
disgust,4,0,,,,,,,,,
disgust,5,0,,,,,,,,,
disgust,6,0,,,,,,,,,
disgust,7,0,,,,,date,Anger,Sad,Surprise,Fear
disgust,8,0,,,,,20111001,0,30,5,0
disgust,9,0,,,,,20111002,3,8,1,0
disgust,10,0,,,,,20111003,4,4,0,0
disgust,11,0,,,,,20111004,8,3,1,5
disgust,12,0,,,,,20111005,2,0,0,0
emotionless,0,4,,,,,20111006,5,5,3,1
emotionless,1,6,,,,,20111007,3,9,4,1
emotionless,2,1,,,,,20111008,14,5,7,0
emotionless,3,12,,,,,20111009,1,1,5,10
emotionless,4,17,,,,,20111010,0,0,7,16
emotionless,5,9,,,,,20111011,2,2,2,5
emotionless,6,13,,,,,20111012,4,2,0,0
emotionless,7,5,,,,,20111013,1,0,1,0
emotionless,8,11,,,,,20111014,0,0,3,6
emotionless,9,11,,,,,20111015,5,8,0,4
emotionless,10,9,,,,,20111016,0,0,1,0
emotionless,11,12,,,,,20111017,0,0,0,1
emotionless,12,3,,,,,,,,,
fear,0,0,,,,,,,,,
fear,1,0,,,,,,,,,
fear,2,5,,,,,,,,,
fear,3,1,,,,,,,,,
fear,4,0,,,,,,,,,
fear,5,0,,,,,,,,,
fear,6,0,,,,,,,,,
fear,7,0,,,,,,,,,
fear,8,0,,,,,,,,,
fear,9,1,,,,,,,,,
fear,10,0,,,,,,,,,
fear,11,0,,,,,,,,,
fear,12,1,,,,,,,,,
happy,0,7,,,,,,,,,
happy,1,8,,,,,,,,,
happy,2,12,,,,,,,,,
happy,3,2,,,,,,,,,
happy,4,2,,,,,,,,,
happy,5,5,,,,,,,,,
happy,6,0,,,,,,,,,
happy,7,7,,,,,,,,,
happy,8,2,,,,,,,,,
happy,9,0,,,,,,,,,
happy,10,5,,,,,,,,,
happy,11,6,,,,,,,,,
happy,12,3,,,,,,,,,
sad,0,1,,,,,,,,,
sad,1,0,,,,,,,,,
sad,2,0,,,,,,,,,
sad,3,0,,,,,,,,,
sad,4,0,,,,,,,,,
sad,5,0,,,,,,,,,
sad,6,1,,,,,,,,,
sad,7,4,,,,,,,,,
sad,8,6,,,,,,,,,
sad,9,1,,,,,,,,,
sad,10,4,,,,,,,,,
sad,11,0,,,,,,,,,
sad,12,2,,,,,,,,,
surprise,0,1,,,,,,,,,
surprise,1,2,,,,,,,,,
surprise,2,0,,,,,,,,,
surprise,3,0,,,,,,,,,
surprise,4,0,,,,,,,,,
surprise,5,1,,,,,,,,,
surprise,6,3,,,,,,,,,
surprise,7,1,,,,,,,,,
surprise,8,0,,,,,,,,,
surprise,9,2,,,,,,,,,
surprise,10,0,,,,,,,,,
surprise,11,1,,,,,,,,,
surprise,12,4,,,,,,,,,